system/status/ControlDpm(0)/FebFpga(0)/FebCore(0)/HybridSyncStatus(0)/SyncDetected: 192 0x1f, 240 0x1f, 132 0x1f, 276 0x1f, 168 0x0, 252 0x1f, 204 0x1f, 288 0x1f, 144 0x1f, 216 0x1f, 180 0x1f, 300 0x1f, 120 0x1f, 228 0x1f, 156 0x1f, 264 0x1f, 312 0x1f, 
system/status/ControlDpm(0)/FebFpga(0)/FebCore(0)/HybridSyncStatus(3)/SyncDetected: 192 0x1f, 240 0x1f, 132 0x1f, 276 0x1f, 168 0x0, 252 0x1f, 204 0x1f, 288 0x1f, 144 0x1f, 216 0x1f, 180 0x1f, 300 0x1f, 120 0x1f, 228 0x1f, 156 0x1f, 264 0x1f, 312 0x1f, 
system/status/ControlDpm(0)/FebFpga(0)/FebCore(0)/HybridSyncStatus(1)/SyncDetected: 192 0x1f, 240 0x1f, 132 0x1f, 276 0x1f, 168 0x0, 252 0x1f, 204 0x1f, 288 0x1f, 144 0x1f, 216 0x1f, 180 0x1f, 300 0x1f, 120 0x1f, 228 0x1f, 156 0x1f, 264 0x1f, 312 0x1f, 
system/status/ControlDpm(0)/FebFpga(0)/FebCore(0)/HybridSyncStatus(2)/SyncDetected: 192 0x1f, 240 0x1f, 132 0x1f, 276 0x1f, 168 0x0, 252 0x1f, 204 0x1f, 288 0x1f, 144 0x1f, 216 0x1f, 180 0x1f, 300 0x1f, 120 0x1f, 228 0x1f, 156 0x1f, 264 0x1f, 312 0x1f, 
system/status/ControlDpm(0)/FebFpga(1)/FebCore(0)/HybridSyncStatus(0)/SyncDetected: 192 0x0, 240 0x1f, 132 0x1f, 276 0x1f, 168 0x1f, 252 0x1f, 204 0x1f, 288 0x1f, 144 0x1f, 216 0x1f, 180 0x1f, 300 0x1f, 120 0x1f, 228 0x1f, 156 0x1f, 264 0x1f, 312 0x1f, 
system/status/ControlDpm(0)/FebFpga(1)/FebCore(0)/HybridSyncStatus(1)/SyncDetected: 192 0x1f, 240 0x1f, 132 0x1f, 276 0x1f, 168 0x0, 252 0x1f, 204 0x1f, 288 0x1f, 144 0x1f, 216 0x1f, 180 0x0, 300 0x1f, 120 0x1f, 228 0x1f, 156 0x1f, 264 0x1f, 312 0x1f, 
system/status/ControlDpm(0)/FebFpga(1)/FebCore(0)/HybridSyncStatus(2)/SyncDetected: 192 0x1f, 240 0x1f, 132 0x1f, 276 0x1f, 168 0x1f, 252 0x1f, 204 0x0, 288 0x1f, 144 0x1f, 216 0x1f, 180 0x1f, 300 0x1f, 120 0x1f, 228 0x1f, 156 0x1f, 264 0x1f, 312 0x1f, 
system/status/ControlDpm(0)/FebFpga(1)/FebCore(0)/HybridSyncStatus(3)/SyncDetected: 192 0x1f, 240 0x1f, 132 0x1f, 276 0x1f, 168 0x1f, 252 0x1f, 204 0x1f, 288 0x1f, 144 0x1f, 216 0x1f, 180 0x0, 300 0x1f, 120 0x1f, 228 0x1f, 156 0x1f, 264 0x1f, 312 0x1f, 
system/status/ControlDpm(0)/FebFpga(2)/FebCore(0)/HybridSyncStatus(2)/SyncDetected: 192 0x0, 240 0x0, 132 0x0, 276 0x0, 168 0x0, 252 0x0, 204 0x0, 288 0x0, 144 0x0, 216 0x0, 180 0x0, 300 0x0, 120 0x0, 228 0x0, 156 0x0, 264 0x0, 312 0x0, 
system/status/ControlDpm(0)/FebFpga(2)/FebCore(0)/HybridSyncStatus(3)/SyncDetected: 192 0x0, 240 0x0, 132 0x0, 276 0x0, 168 0x0, 252 0x0, 204 0x0, 288 0x0, 144 0x0, 216 0x0, 180 0x0, 300 0x0, 120 0x0, 228 0x0, 156 0x0, 264 0x0, 312 0x0, 
system/status/ControlDpm(0)/FebFpga(2)/FebCore(0)/HybridSyncStatus(1)/SyncDetected: 192 0x1f, 240 0x1f, 132 0x1f, 276 0x1f, 168 0x0, 252 0x1f, 204 0x1f, 288 0x1f, 144 0x1f, 216 0x1f, 180 0x1f, 300 0x1f, 120 0x1f, 228 0x1f, 156 0x1f, 264 0x1f, 312 0x1f, 
system/status/ControlDpm(0)/FebFpga(2)/FebCore(0)/HybridSyncStatus(0)/SyncDetected: 192 0x1f, 240 0x1f, 132 0x1f, 276 0x1f, 168 0x0, 252 0x1f, 204 0x1f, 288 0x1f, 144 0x1f, 216 0x1f, 180 0x1f, 300 0x1f, 120 0x1f, 228 0x1f, 156 0x1f, 264 0x1f, 312 0x1f, 
